iter	Passed	Remaining
0	61	61746
1	62	31156
2	62	20931
3	63	15809
4	64	12745
5	64	10688
6	64	9220
7	65	8130
8	66	7272
9	66	6592
10	67	6027
11	67	5560
12	67	5159
13	68	4825
14	69	4534
15	69	4271
16	69	4043
17	70	3834
18	70	3653
19	71	3485
20	71	3333
21	71	3199
22	72	3079
23	73	2971
24	73	2866
25	73	2768
26	74	2680
27	74	2593
28	75	2514
29	75	2443
30	75	2374
31	76	2309
32	76	2248
33	77	2193
34	77	2140
35	77	2087
36	78	2040
37	78	1996
38	79	1951
39	79	1910
40	79	1869
41	80	1834
42	80	1797
43	81	1762
44	81	1729
45	81	1697
46	82	1666
47	82	1638
48	82	1609
49	83	1583
50	83	1556
51	84	1531
52	84	1506
53	84	1483
54	84	1460
55	85	1438
56	85	1420
57	86	1404
58	86	1385
59	87	1369
60	87	1350
61	88	1334
62	88	1315
63	88	1300
64	89	1287
65	89	1271
66	90	1256
67	90	1241
68	90	1227
69	91	1213
70	91	1201
71	92	1188
72	92	1176
73	93	1163
74	93	1151
75	93	1139
76	94	1128
77	94	1116
78	94	1105
79	95	1094
80	95	1084
81	95	1073
82	96	1061
83	96	1052
84	96	1042
85	97	1032
86	97	1023
87	97	1014
88	98	1005
89	98	997
90	98	988
91	99	980
92	99	971
93	99	963
94	100	956
95	100	949
96	101	942
97	101	935
98	102	930
99	102	923
100	102	916
101	103	909
102	103	903
103	104	896
104	104	889
105	104	883
106	105	877
107	105	871
108	105	864
109	106	858
110	106	852
111	106	848
112	107	842
113	107	838
114	108	834
115	108	829
116	109	824
117	109	819
118	109	813
119	110	808
120	110	803
121	110	797
122	111	793
123	111	788
124	111	783
125	112	778
126	112	773
127	112	769
128	113	765
129	113	762
130	114	761
131	115	757
132	115	754
133	116	750
134	116	748
135	117	745
136	118	744
137	118	742
138	119	738
139	119	735
140	120	731
141	120	726
142	120	723
143	120	718
144	121	714
145	121	711
146	121	707
147	122	704
148	122	700
149	122	696
150	123	692
151	123	689
152	123	685
153	124	681
154	124	677
155	124	674
156	124	670
157	125	666
158	125	663
159	125	659
160	125	655
161	126	652
162	126	648
163	126	645
164	126	642
165	127	639
166	127	635
167	127	632
168	128	629
169	128	626
170	128	623
171	128	620
172	129	618
173	129	615
174	129	612
175	130	610
176	130	607
177	130	604
178	131	602
179	131	599
180	131	596
181	132	593
182	132	591
183	132	588
184	132	585
185	133	583
186	133	580
187	133	577
188	134	575
189	134	572
190	134	570
191	135	568
192	135	565
193	135	563
194	136	561
195	136	559
196	136	557
197	137	555
198	137	552
199	137	550
200	137	547
201	138	545
202	138	543
203	138	540
204	138	538
205	139	536
206	139	534
207	139	532
208	140	529
209	140	527
210	140	525
211	140	523
212	141	521
213	141	519
214	141	517
215	141	515
216	142	513
217	142	511
218	142	509
219	143	507
220	143	505
221	143	503
222	144	501
223	144	500
224	144	498
225	145	496
226	145	494
227	145	493
228	145	491
229	146	490
230	146	488
231	147	486
232	147	485
233	147	483
234	147	481
235	148	479
236	148	477
237	148	476
238	149	474
239	149	473
240	149	471
241	149	469
242	150	468
243	150	467
244	151	465
245	151	464
246	151	462
247	152	460
248	152	459
249	152	457
250	152	456
251	153	454
252	153	452
253	153	451
254	153	449
255	154	448
256	154	446
257	154	444
258	154	443
259	155	441
260	155	440
261	155	438
262	156	437
263	156	435
264	156	434
265	156	432
266	157	431
267	157	429
268	157	428
269	157	426
270	158	425
271	158	424
272	158	423
273	159	421
274	159	420
275	159	419
276	160	418
277	160	416
278	160	415
279	160	413
280	161	412
281	161	411
282	161	409
283	162	408
284	162	407
285	162	405
286	162	404
287	163	403
288	163	402
289	163	400
290	164	399
291	164	398
292	164	397
293	165	396
294	165	395
295	165	393
296	165	392
297	166	391
298	166	390
299	166	389
300	167	388
301	167	387
302	167	385
303	168	384
304	168	383
305	168	382
306	168	381
307	169	380
308	169	378
309	169	377
310	169	376
311	170	375
312	170	374
313	170	373
314	171	371
315	171	370
316	171	369
317	171	368
318	172	367
319	172	366
320	172	365
321	173	364
322	173	363
323	173	362
324	174	361
325	174	360
326	174	359
327	175	358
328	175	357
329	175	356
330	175	355
331	176	354
332	176	353
333	176	352
334	177	351
335	177	350
336	177	349
337	177	348
338	178	347
339	178	346
340	178	345
341	178	344
342	179	343
343	179	342
344	180	341
345	180	340
346	180	340
347	181	339
348	181	338
349	181	337
350	181	336
351	182	335
352	182	335
353	183	334
354	183	333
355	183	332
356	183	331
357	184	330
358	184	329
359	184	328
360	185	327
361	185	327
362	185	326
363	186	325
364	186	325
365	187	324
366	187	324
367	188	323
368	188	322
369	189	321
370	189	320
371	189	320
372	189	319
373	190	318
374	190	317
375	190	316
376	190	315
377	191	314
378	191	313
379	191	312
380	192	311
381	192	311
382	192	310
383	192	309
384	193	308
385	193	307
386	193	307
387	194	306
388	194	305
389	194	304
390	195	304
391	195	303
392	195	302
393	196	301
394	196	300
395	196	300
396	196	299
397	197	298
398	197	297
399	197	296
400	198	295
401	198	294
402	198	294
403	198	293
404	199	292
405	199	291
406	199	291
407	199	290
408	200	289
409	200	288
410	200	287
411	201	286
412	201	286
413	201	285
414	201	284
415	202	283
416	202	283
417	202	282
418	203	281
419	203	281
420	204	280
421	204	279
422	204	279
423	204	278
424	205	277
425	205	276
426	205	276
427	205	275
428	206	274
429	206	273
430	206	272
431	207	272
432	207	271
433	207	270
434	207	270
435	208	269
436	208	268
437	209	268
438	209	267
439	209	266
440	209	266
441	210	265
442	210	264
443	210	263
444	211	263
445	211	262
446	211	261
447	211	261
448	212	260
449	212	259
450	212	258
451	212	258
452	213	257
453	213	256
454	213	255
455	214	255
456	214	254
457	214	253
458	214	253
459	215	252
460	215	251
461	215	251
462	215	250
463	216	249
464	216	249
465	216	248
466	217	247
467	217	247
468	217	246
469	218	245
470	218	245
471	218	244
472	218	243
473	219	243
474	219	242
475	219	241
476	219	241
477	220	240
478	220	239
479	220	239
480	221	238
481	221	237
482	221	237
483	221	236
484	222	235
485	222	235
486	222	234
487	223	234
488	223	234
489	224	233
490	224	233
491	225	232
492	225	231
493	225	231
494	225	230
495	226	229
496	226	229
497	226	228
498	227	227
499	227	227
500	227	226
501	227	225
502	228	225
503	228	224
504	228	224
505	228	223
506	229	222
507	229	222
508	229	221
509	230	221
510	230	220
511	230	220
512	231	219
513	231	219
514	231	218
515	232	217
516	232	217
517	232	216
518	233	216
519	233	215
520	233	215
521	234	214
522	234	213
523	234	213
524	235	212
525	235	212
526	235	211
527	236	211
528	236	210
529	236	209
530	236	209
531	237	208
532	237	208
533	237	207
534	238	207
535	238	206
536	238	206
537	239	205
538	239	204
539	239	204
540	240	203
541	240	203
542	240	202
543	241	202
544	241	201
